time,COPx,COPy
0.0,0.6086991336570873,2.3860591320835223
0.01,0.5979201687158013,2.1198172868553486
0.02,0.31411888403896226,2.1728707691000273
0.03,0.29177699712114813,2.550159404184439
0.04,0.48838306169720846,2.628306994807134
0.05,1.4267676383480676,2.3783896606084176
0.06,0.7726895675613216,4.644923945431661
0.07,1.427703620206025,3.2236654391669917
0.08,2.029917416224834,2.9551893929912576
0.09,1.981176084434064,4.549697260378949
0.1,1.8716448914176447,3.3350646598412026
0.11,2.032898213160061,4.4592324114475135
0.12,2.5738947393288516,4.149049449270401
0.13,2.38961580420803,4.291990491381741
0.14,3.1212575963833626,3.2264277007153987
0.15,1.734763797438254,4.197012836035229
0.16,3.2535322822776753,2.9140760962980186
0.17,2.392859454623813,3.3585042541672743
0.18,4.308281994185332,3.5840062749588464
0.19,3.516329075367737,3.7212166073507187
0.2,2.809832291308944,4.097086410878115
0.21,2.3146132241919664,3.349725280057197
0.22,3.6971628262482965,3.136855473767748
0.23,2.8635884360759394,3.1009776885876517
0.24,2.8048096774539166,3.26021781340665
0.25,3.8290182342746744,2.0741873429363875
0.26,2.4481628905534345,3.0296878379085013
0.27,2.940899212740754,2.113920807182862
0.28,2.738255640985732,2.3747599779742137
0.29,3.3151096541098437,2.17512306835617
0.3,2.2149415024698933,1.7507727746575459
0.31,2.519630425458704,1.897856146353033
0.32,3.9812625755879076,2.180295531516823
0.33,3.3454976466949216,2.274479920075778
0.34,3.337872453903134,2.251680472834058
0.35000000000000003,3.6008536332328833,1.039653791075967
0.36,2.5366117318115635,1.1145951333644668
0.37,2.958960429179051,1.4758102352309708
0.38,3.2602308940950815,1.756905365580531
0.39,2.517045678838724,1.4637484217045371
0.4,2.797823088536355,0.9931390054390651
0.41000000000000003,3.637397063421651,1.9500774590313492
0.42,2.6895126495071238,1.8567186233063029
0.43,1.8417332071417336,2.240555443132605
0.44,1.4785249795240578,1.5806358544034858
0.45,2.3234022642310372,2.4142694790917423
0.46,2.0559509058044823,2.5297986440938867
0.47000000000000003,2.630166026345769,3.1911707446629896
0.48,1.3104642330400131,2.8425220598565306
0.49,2.503964106422445,2.9743124628027573
0.5,1.4976100724312977,2.985897627650497
0.51,1.33640677219489,2.8895976095279363
0.52,0.8957815810709413,3.412262327724927
0.53,2.156268684039867,4.003314576992632
0.54,2.7660577354069233,4.055044162624943
0.55,1.6823714941629704,4.181689735175828
0.56,1.7911935876029266,4.290212354829159
0.5700000000000001,1.2903828519963605,4.7372564728400075
0.58,1.911275743793951,5.0936177187703695
0.59,1.1163426633878724,5.90554952411415
0.6,1.9152046020419866,5.405430564229064
0.61,1.7872858975925758,5.3979920203625795
0.62,1.5529309039874217,6.0041811635101245
0.63,1.34593588393265,4.936931183841466
0.64,2.4803679208242024,4.796157774587111
0.65,1.4960234230731346,4.2400379545638485
0.66,2.236948702391161,5.177455519284301
0.67,1.4056020101719944,4.722595393846714
0.68,2.247322614738446,4.363452044255206
0.6900000000000001,2.2755968517017293,4.349676962125006
0.7000000000000001,2.183411882806283,4.501684845127796
0.71,1.8978236925652918,4.809358729156168
0.72,2.7981526600168185,4.623871523748094
0.73,3.3213358524001237,3.977800314437221
0.74,1.7002884270291763,4.446562914580705
0.75,3.2167269508540333,3.9109519017326777
0.76,3.1138699731321458,4.355625376323191
0.77,3.6500778632318096,3.394157591046923
0.78,3.04992251122215,2.6573116030242594
0.79,3.581899694385951,2.5498035582052627
0.8,3.1431476164753156,2.7463467349691113
0.81,3.2656097314935613,2.5459563283556075
0.8200000000000001,4.619228846833929,2.876027419730339
0.8300000000000001,4.476802826808882,3.1409054778403602
0.84,4.071918810854708,2.973395978599472
0.85,4.675676987246764,2.180742700635652
0.86,4.949829049127732,2.4886001221334175
0.87,4.455636277027202,2.6842522093277674
0.88,4.48586751472879,2.800279130539478
0.89,5.575819634951857,2.5317235545450414
0.9,5.214962764624848,2.3254957638904368
0.91,5.7128781161739886,3.173498379136239
0.92,5.784404190747442,3.0869755252961495
0.93,5.856155388667414,3.5840680260610545
0.9400000000000001,5.972281778963412,3.144075379934145
0.9500000000000001,5.664441620153002,2.998714143885237
0.96,7.827674575176092,3.0746072304656904
0.97,6.830448836083628,3.649888110094153
0.98,6.232296188820924,3.5482475864593415
0.99,6.632152778209659,3.637213278340064
1.0,6.033517710704614,4.203793261574148
1.01,6.623463535886355,4.0752368052273855
1.02,7.154739446575931,5.0311483585846215
1.03,7.1537584356291175,4.620842230066442
1.04,6.994853392347994,3.7245787958388212
1.05,7.058433811982564,4.973330842596395
1.06,6.466693224700256,4.94367403900942
1.07,7.1011001552665665,4.485413604159358
1.08,6.417232714729822,5.030446661196809
1.09,6.05715803580347,5.6338813795103455
1.1,6.43074267197706,4.924338605956977
1.11,7.104246330224825,6.261387044055162
1.12,6.467143595427597,5.612135118618332
1.1300000000000001,6.32809076696635,6.107750203906914
1.1400000000000001,6.779415727823906,4.8783816684795624
1.1500000000000001,6.57936540506051,6.236240266923152
1.16,6.366828271368176,6.053556869506801
1.17,6.162139453927644,5.32475737691943
1.18,5.704292293658506,5.721746116465487
1.19,5.412079535084531,4.729606872398437
1.2,5.943633935788625,4.56387936150509
1.21,5.487676374309132,4.862622604894402
1.22,5.401303957858657,4.649655418343014
1.23,4.625790358000425,3.942116445897897
1.24,4.878788951324684,4.655281529037323
1.25,4.751417356226817,4.2335988558255435
1.26,5.132981859606062,4.088374990149976
1.27,5.055818915986609,3.6736192528550697
1.28,4.510534272059725,3.466922599290114
1.29,4.347270558479059,3.188642435897571
1.3,4.04972563732488,3.884813835079851
1.31,3.4564068144444393,2.382531103431166
1.32,3.373945880936903,3.3446365383175642
1.33,4.217536130252898,2.628615310918839
1.34,4.340927308853814,3.33999021383286
1.35,3.194621817323769,1.3512977390306404
1.36,3.189204755856326,1.5598158989765545
1.37,2.9143642311705302,1.6329988325111657
1.3800000000000001,3.441596394099616,2.1652676584351203
1.3900000000000001,3.2203919647001227,2.62545991806544
1.4000000000000001,3.0684495298912364,2.203443437010658
1.41,3.0129996805272254,3.195347097988793
1.42,3.3254396803659962,2.2299488683249318
1.43,3.1073243559596837,2.4106482173549213
1.44,3.176194258728159,2.91347351605073
1.45,2.391270100454791,3.1860812849408355
1.46,2.871334160196362,3.424915412286646
1.47,3.4946500655183734,3.214531448754493
1.48,2.9948838900654016,3.2034955791908404
1.49,2.5151033042558772,2.941030487864724
1.5,2.95786624269606,3.370230383021685
